"Property Name","Property Code","Units","S8 Units","Portfolio Mgr","Regional VP","Regional CM","Contract Type","Last Renewal","Contract Exp","Contract Admin","Next UA Baseline","Paperwork Rec","Sent to HUD/CA","Conf by CA","Date to Order RCS","Due to HUD","Rent Increase","Increase Type","Notes"
"Rose Tower","90097","168","120","Mike McKee","","","Option 2","","07/01/2034","Kentucky Housing Corporation","","","","","","04/01/2018","07/01/2018","OCAF",""
"Trees - Maple","90105","83","83","Claire Beatty","","","Option 1","","06/30/2037","Colorado Housing and Finance Authority","","","","","","04/01/2018","07/01/2018","OCAF",""
"Trees - Holly","90104","94","94","Claire Beatty","","","Option 2","","08/31/2035","Colorado Housing and Finance Authority","","","","","","06/01/2018","09/01/2018","OCAF",""
"Luther Towers","90111","362","362","Claire Beatty","","","SPRAC","","11/30/2043","Delaware State Housing Authority","","","","","","10/01/2018","01/01/2019","Request",""
"Woodlake Apartments","75584","148","147","Elliot Kohanbash","","","Option 1","","10/31/2044","NJHMFA","","","","","","","01/01/2019","RCS",""
"Hershey Plaza","75587","216","215","Claire Beatty","","","Option 1","","05/31/2037","Pennsylvania Housing Finance Agency","","","","","","02/28/2019","05/31/2019","OCAF",""
"HDR Fund","90080","125","125","Tolga Ayberk","","","Option 2","","05/31/2031","LA LOMOD","","","","","12/01/2018","02/01/2019","06/01/2019","RCS",""
"Rose Tower","90097","168","120","Mike McKee","","","Option 2","","07/01/2034","Kentucky Housing Corporation","","","","","01/01/2019","04/01/2019","07/01/2019","RCS",""
"Trees - Maple","90105","83","83","Claire Beatty","","","Option 1","","06/30/2037","Colorado Housing and Finance Authority","","","","","","04/01/2019","07/01/2019","OCAF",""
"Trees - Holly","90104","94","94","Claire Beatty","","","Option 2","","08/31/2035","Colorado Housing and Finance Authority","","","","","","06/01/2019","09/01/2019","OCAF",""
"Terrace Ridge","90101","168","167","Claire Beatty","","","Option 1","","09/30/2029","Assisted Housing Services Corporation","","","","","04/01/2019","07/01/2019","10/01/2019","RCS",""
"Trees - Ash","90103","53","53","Claire Beatty","","","Option 1","","09/30/2039","Colorado Housing and Finance Authority","","","","","04/01/2019","07/01/2019","10/01/2019","RCS",""
"Tyler House","90006","284","284","Mike McKee","","","Option 2","","09/30/2031","Assisted Housing Services Corporation","","","","","","06/01/2019","10/01/2019","OCAF",""
"Harmon","75955","210","209","Matt Kim","","","Option 1","","10/31/2038","Assisted Housing Services Corporation","","","","","","07/01/2019","11/01/2019","OCAF",""
"Chestnut Park (Skyview)","75541","489","241","Matt Kim","","","RAD 2","","12/11/2038","HUD","","","","","","08/11/2019","12/11/2019","OCAF",""
"Olde English Village","75923","200","200","Matt Kim","","","Option 3","","12/17/2035","MassHousing","","","","","","08/18/2019","12/18/2019","OCAF",""
"Bastrop Oak Grove","90030","48","48","Tolga Ayberk","","","Option 4","","01/01/2039","Southwest Housing Compliance Corporation","","","","","","09/01/2019","01/01/2020","OCAF",""
"Faust Landmark Apartments","75532","200","200","Claire Beatty","","","RAD","","07/31/2025","Rockford Housing","","","","","","09/01/2019","01/01/2020","OCAF",""
"Hondo Brian Place","90037","40","40","Tolga Ayberk","","","Option 1","","01/01/2039","Southwest Housing Compliance Corporation","","","","","","09/01/2019","01/01/2020","OCAF",""
"Kirkwood House","79197","261","260","Matt Kim","","","Option 1","","12/31/2028","MDHCD","","","","","","09/01/2019","01/01/2020","OCAF",""
"Luther Towers","90111","362","362","Claire Beatty","","","SPRAC","","11/30/2043","Delaware State Housing Authority","","","","","","10/01/2019","01/01/2020","Request",""
"Shawnee Village","75901","120","120","Matt Kim","","","Option 1","","12/31/2033","Illinois Housing Development Authority","","","","","","09/01/2019","01/01/2020","OCAF",""
"Sycamore Ridge","75912","304","304","Elliot Kohanbash","","","Option 4","","01/01/2033","NJHMFA","","","","","","09/01/2019","01/01/2020","OCAF",""
"Woodlake Apartments","75584","148","147","Elliot Kohanbash","","","Option 1","","10/31/2044","NJHMFA","","","","","","","01/01/2020","OCAF",""
"Treemont Village","4640008","60","60","Elliot Kohanbash","","","Option 2","","01/01/2033","HUD","","","","","","09/02/2019","01/02/2020","OCAF",""
"Arlington Park","90022","130","130","Matt Kim","","","Option 1","","01/31/2037","Massachusetts Housing Finance Agency","","","","","","09/10/2019","01/10/2020","OCAF",""
"Washington Heights","75925","404","366","Matt Kim","","","Option 5","","01/30/2036","Massachusetts Housing Finance Agency","","","","","","09/15/2019","01/15/2020","OCAF",""
"Fullerton Court","75918","196","195","Matt Kim","","","Option 1","","01/25/2034","National Housing Compliance","","","","","07/26/2019","09/26/2019","01/26/2020","RCS",""
"Creekwood Apartments","75903","104","104","Matt Kim","","","Option 1","","01/31/2034","National Housing Compliance","","","","","","10/01/2019","02/01/2020","OCAF",""
"Ferncliff South","4640005","84","84","Claire Beatty","","","Option 2","","01/31/2038","Navigate Affordable Housing Partners","","","","","","10/01/2019","02/01/2020","OCAF",""
"Greenport","75468","366","364","Elliot Kohanbash","","","Option 1","","01/31/2029","CGI","","","","","","10/01/2019","02/01/2020","OCAF",""
"Sandburg Village","75902","128","128","Matt Kim","","","Option 4","","02/01/2034","National Housing Compliance","","","","","","10/01/2019","02/01/2020","OCAF",""
"The Woods","75491","57","57","Matt Kim","","","Option 2","","01/31/2034","National Housing Compliance","","","","","","10/01/2019","02/01/2020","OCAF",""
"Country Village","75904","104","104","Matt Kim","","","Option 1","","02/29/2036","National Housing Compliance","","","","","","11/01/2019","03/01/2020","OCAF",""
"Marshall Field","75911","628","628","Matt Kim","","","Option 1","","04/30/2035","National Housing Compliance","","","","","10/01/2019","12/01/2019","04/01/2020","RCS",""
"MORH Housing","75927","126","125","Tolga Ayberk","","","Original","","03/31/2036","CAHI","","","","","","12/01/2019","04/01/2020","OCAF",""
"Oak Center","75926","77","77","Tolga Ayberk","","","Option 1","","03/31/2036","CAHI","","","","","","12/01/2019","04/01/2020","OCAF",""
"Roosevelt Apartments","90020","114","113","Matt Kim","","","Option 3","","03/31/2026","CGI","","","","","","12/01/2019","04/01/2020","OCAF",""
"Southeast Towers","75494","107","106","Mike McKee","","","PBV","","03/31/2028","NYS Homes and Community Renewal","","","","","","12/01/2019","04/01/2020","Request",""
"Brook","90023","98","97","Elliot Kohanbash","","","Option 3","","03/31/2031","CGI","","","","","","12/01/2019","04/01/2020","OCAF",""
"Hazelwood Towers","75146","97","95","Claire Beatty","","","Option 3","","04/14/2025","Pennsylvania Housing Finance Agency","","","","","","12/15/2019","04/15/2020","OCAF",""
"North Park","75478","123","123","Matt Kim","","","Option 1","","04/18/2031","CGI","","","","","10/19/2019","12/19/2019","04/19/2020","RCS",""
"Malcolm Towers","90044","226","225","Elliot Kohanbash","","","Option 2","","04/30/2040","NJHMFA","","","","","10/28/2019","12/28/2019","04/28/2020","RCS",""
"Crossroads of New Brighton","75947","172","172","Mike McKee","","","Option 1","","04/30/2036","Minn Housing","","","","","","01/01/2020","05/01/2020","OCAF",""
"Crossroads of Shoreview","75948","44","44","Mike McKee","","","Option 2","","04/30/2036","Minn Housing","","","","","","01/01/2020","05/01/2020","OCAF",""
"Park Bluff","75951","186","185","Mike McKee","","","Option 1","","03/31/2035","Wisconsin Housing & Economic Development Authority","","","","","11/01/2019","01/01/2020","05/01/2020","RCS",""
"Sumler Terrace","4640014","126","126","Elliot Kohanbash","","","Option 1","","04/30/2037","Virginia Housing Development Authority","","","","","","01/01/2020","05/01/2020","OCAF",""
"Trees - Willow","90107","63","63","Claire Beatty","","","Option 1","","04/30/2040","Colorado Housing and Finance Authority","","","","","11/01/2019","02/01/2020","05/01/2020","RCS",""
"Fairview Homes","75920","136","135","Elliot Kohanbash","","","Option 2","","05/07/2035","NJHMFA","","","","","11/07/2019","01/07/2020","05/07/2020","RCS",""
"Hershey Plaza","75587","216","215","Claire Beatty","","","Option 1","","05/31/2037","Pennsylvania Housing Finance Agency","","","","","","02/28/2020","05/31/2020","OCAF",""
"Branford Manor","75930","442","441","Mike McKee","","","Option 1","","06/01/2037","Navigate Affordable Housing Partners","","","","","","02/01/2020","06/01/2020","OCAF",""
"Crossroads of Edina","75946","64","26","Mike McKee","","","Option 2","","05/31/2036","Minn Housing","","","","","","02/01/2020","06/01/2020","OCAF",""
"HDR Fund","90080","125","125","Tolga Ayberk","","","Option 2","","05/31/2031","LA LOMOD","","","","","","02/01/2020","06/01/2020","OCAF",""
"Northgate Terrace","75919","201","155","Tolga Ayberk","","","Option 2","","05/31/2035","CAHI","","","","","12/01/2019","02/01/2020","06/01/2020","RCS",""
"Parkside Houses","90017","180","122","Matt Kim","","","RAD","","05/31/2036","HUD","","","","","","02/01/2020","06/01/2020","OCAF",""
"Sandwich Manor","75444","90","89","Matt Kim","","","Option 1b","","07/01/2046","NHC","","","","","12/24/2019","02/24/2020","06/24/2020","RCS",""
"Burt Farms I","75109","51","50","Elliot Kohanbash","","","Option 1","","06/30/2029","CGI","","","","","","02/26/2020","06/26/2020","OCAF",""
"Oceanport Gardens","75563","101","100","Elliot Kohanbash","","","Option 1","","06/27/2039","NJHMFA","","","","","","02/28/2020","06/28/2020","OCAF",""
"Country Gardens","75118","58","57","Elliot Kohanbash","","","Option 4","","06/29/2026","CGI","","","","","","03/01/2020","06/30/2020","OCAF",""
"Marine Terrace","75922","497","441","Mike McKee","","","Option 1","","06/29/2036","CGI","","","","","","03/01/2020","06/30/2020","OCAF",""
"New Horizons","75474","48","47","Elliot Kohanbash","","","Option 1","","04/30/2030","CGI","","","","","","03/01/2020","06/30/2020","OCAF",""
"PJ Housing","75481","51","50","Matt Kim","","","Option 2","","06/29/2031","CGI","","","","","","03/01/2020","06/30/2020","OCAF",""
"Augustana Homes of East Bridgeport","75538","48","48","Mike McKee","","","PRAC","","","HUD CT","","","","","","03/01/2020","07/01/2020","EXPIRES",""
"Campbell Terrace","75547","249","249","Claire Beatty","","","Option 1","","06/30/2039","National Housing Compliance","","","","","","03/01/2020","07/01/2020","OCAF",""
"Crossroads of East Ravenswood","75936","124","124","Claire Beatty","","","Option 1","","06/30/2036","National Housing Compliance","","","","","","03/01/2020","07/01/2020","OCAF",""
"Fern","75466","205","204","Elliot Kohanbash","","","Option 1","","10/31/2028","Newark Filend Office - Region II","","","","","","03/01/2020","07/01/2020","OCAF",""
"Northgate Village","75542","168","168","Tolga Ayberk","","","Option 1","","06/30/2039","SWHA","","","","","","03/01/2020","07/01/2020","OCAF",""
"Rose Tower","90097","168","120","Mike McKee","","","Option 2","","07/01/2034","Kentucky Housing Corporation","","","","","","04/01/2020","07/01/2020","OCAF",""
"State Street","75929","51","51","Mike McKee","","","Option 5","","06/30/2036","Wisconsin Housing & Economic Development Authority","","","","","","03/01/2020","07/01/2020","Request",""
"Talcott Gardens","75145","85","84","Mike McKee","","","Option 3","","06/30/2029","HUD","","","","","","03/01/2020","07/01/2020","OCAF",""
"Trees - Maple","90105","83","83","Claire Beatty","","","Option 1","","06/30/2037","Colorado Housing and Finance Authority","","","","","","04/01/2020","07/01/2020","OCAF",""
"Woodland Towers","75934","104","104","Claire Beatty","","","Option 1","","06/30/2036","National Housing Compliance","","","","","","03/01/2020","07/01/2020","OCAF",""
"Walden","75921","89","89","Elliot Kohanbash","","","Option 1","","07/14/2035","CGI","","","","","01/15/2020","03/15/2020","07/15/2020","RCS",""
"Centennial Islands","75443","118","118","Matt Kim","","","Option 2","","07/31/2026","MassHousing","","","","","","04/01/2020","08/01/2020","OCAF",""
"Manhattan Plaza","75425","1689","1689","Claire Beatty","","","Option 1","","07/31/2037","HPD","","","","","","04/01/2020","08/01/2020","OCAF",""
"Squire Village","90099","51","50","Tolga Ayberk","","","Option 4","","07/31/2040","Colorado Housing and Finance Authority","","","","","02/01/2020","04/01/2020","08/01/2020","RCS",""
"Victory-Fiedler","75490","39","38","Elliot Kohanbash","","","PBV","","08/14/2027","NYCHPD","","","","","","04/15/2020","08/15/2020","Request",""
"529 West 29th Street","75345","139","139","Mike McKee","","","Option 1","","08/31/2034","CGI","","","","","","05/01/2020","09/01/2020","OCAF",""
"Clarendon Court","75546","152","152","Claire Beatty","","","Option 1","","08/31/2038","National Housing Compliance","","","","","","05/01/2020","09/01/2020","OCAF",""
"Garden House of River Oaks II","75935","145","145","Claire Beatty","","","Option 4","","08/31/2036","HUD","","","","","","05/01/2020","09/01/2020","OCAF",""
"Garden Vista","940001","150","149","Elliot Kohanbash","","","Option 1","","08/31/2034","CGI","","","","","","05/01/2020","09/01/2020","OCAF",""
"Gates Manor","75933","51","51","Claire Beatty","","","Option 1","","08/31/2036","National Housing Compliance","","","","","","05/01/2020","09/01/2020","OCAF",""
"Highland Falls","75456","51","51","Matt Kim","","","Option 2","","08/31/2030","CGI","","","","","03/01/2020","05/01/2020","09/01/2020","RCS",""
"Oaks on Lamar","75539","176","74","Tolga Ayberk","","","Option 1","","08/31/2038","SWHCC","","","","","","05/01/2020","09/01/2020","OCAF",""
"Peterson Plaza","75917","189","189","Mike McKee","","","Option 1","","08/31/2035","National Housing Compliance","","","","","03/01/2020","05/01/2020","09/01/2020","RCS",""
"Riverside Townhomes","75540","128","128","Tolga Ayberk","","","Option 1","","08/31/2038","SWHCC","","","","","","05/01/2020","09/01/2020","OCAF",""
"Trees - Holly","90104","94","94","Claire Beatty","","","Option 2","","08/31/2035","Colorado Housing and Finance Authority","","","","","03/01/2020","06/01/2020","09/01/2020","RCS",""
"Willow Woods","4640010","144","100","Mike McKee","","","Option 2","","08/31/2032","Navigate Affordable Housing Partners","","","","","","05/01/2020","09/01/2020","OCAF",""
"Parkway Gardens","75479","694","694","Matt Kim","","","Option 2","","06/20/2031","National Housing Compliance","","","","","","05/21/2020","09/21/2020","OCAF",""
"Holly House","75564","42","42","Elliot Kohanbash","","","Option 1","","09/23/2040","NJHMFA","","","","","03/24/2020","05/24/2020","09/24/2020","RCS",""
"Ashley Oaks","4640003","250","250","Matt Kim","","","RAD","","09/30/2036","HUD","","","","","","06/01/2020","10/01/2020","OCAF",""
"Canal Lock Apartments","75139","52","51","Elliot Kohanbash","","","Option 3","","09/30/2034","CGI","","","","","","06/01/2020","10/01/2020","OCAF",""
"Ferncliff North","4640012","144","144","Claire Beatty","","","Option 1","","09/30/2034","Navigate Affordable Housing Partners","","","","","","06/01/2020","10/01/2020","OCAF",""
"Greenacres","75484","101","100","Elliot Kohanbash","","","Option 3","","09/30/2027","CGI","","","","","","06/01/2020","10/01/2020","OCAF",""
"Hampshire House","75495","116","115","Elliot Kohanbash","","","Option 1","","09/30/2029","NJHMFA","","","","","","06/01/2020","10/01/2020","OCAF",""
"Lathrop Homes IA","75545","414","151","Mike McKee","","","PBV","","09/30/2037","Chicago Housing Authority","","","","","","06/01/2020","10/01/2020","Request",""
"Newman Village","4640002","99","99","Mike McKee","","","RAD","","09/30/2036","HUD","","","","","","06/01/2020","10/01/2020","OCAF",""
"Northcross Townhomes","2640001","99","99","Mike McKee","","","Option 1","","09/30/2039","North Carolina Housing Finance Agency","","","","","","06/01/2020","10/01/2020","OCAF",""
"Overlook","75458","100","99","Elliot Kohanbash","","","Option 3","","09/30/2034","CGI","","","","","","06/01/2020","10/01/2020","OCAF",""
"Terrace Ridge","90101","168","167","Claire Beatty","","","Option 1","","09/30/2029","Assisted Housing Services Corporation","","","","","","07/01/2020","10/01/2020","OCAF",""
"Tiffany Square","90102","52","52","Tolga Ayberk","","","Option 2","","09/30/2040","Colorado Housing and Finance Authority","","","","","","07/01/2020","10/01/2020","OCAF",""
"Trees - Ash","90103","53","53","Claire Beatty","","","Option 1","","09/30/2039","Colorado Housing and Finance Authority","","","","","","07/01/2020","10/01/2020","OCAF",""
"Village Park","75431","200","167","Matt Kim","","","Option 5","","09/30/2037","Massachusetts Housing Finance Agency","","","","","","06/01/2020","10/01/2020","OCAF",""
"Tyler House","90006","284","284","Mike McKee","","","Option 2","","09/30/2031","Assisted Housing Services Corporation","","","","","","06/01/2020","10/01/2020","OCAF",""
"Geneseo","75477","89","88","Matt Kim","","","Option 1","","10/03/2029","CGI","","","","","","06/04/2020","10/04/2020","OCAF",""
"Burt Farms II","75480","50","50","Elliot Kohanbash","","","Option 2","","07/31/2031","CGI","","","","","","06/16/2020","10/16/2020","OCAF",""
"McCarthy Manor","75469","176","176","Matt Kim","","","Option 2","","10/26/2030","New York State Housing Trust Fund Corporation","","","","","04/27/2020","06/27/2020","10/27/2020","RCS",""
"Augustana Homes of Fairfield","75537","15","15","Mike McKee","","","Option 1","","11/01/2037","Navigate Affordable Housing Partners","","","","","","07/01/2020","10/31/2020","OCAF",""
"Augustana Homes of Greenwich","75535","31","31","Mike McKee","","","Option 1","","10/31/2037","Navigate Affordable Housing Partners","","","","","","07/01/2020","10/31/2020","OCAF",""
"Allenhurst Apartments","90015","316","316","Matt Kim","","","RAD","","10/31/2039","HUD","","","","","","07/01/2020","11/01/2020","OCAF",""
"Alms Hill","75924","200","200","Matt Kim","","","Option 1","","10/31/2038","HUD","","","","","","07/01/2020","11/01/2020","OCAF",""
"Garden House of Park Forest","75937","145","145","Claire Beatty","","","Option 4","","10/31/2036","National Housing Compliance","","","","","","07/01/2020","11/01/2020","OCAF",""
"Harmon","75955","210","209","Matt Kim","","","Option 1","","10/31/2038","Assisted Housing Services Corporation","","","","","","07/01/2020","11/01/2020","OCAF",""
"Linwood Square","75953","200","200","Tolga Ayberk","","","Option 1","","10/31/2037","SWHCC","","","","","","07/01/2020","11/01/2020","OCAF",""
"Peppertree Heights","90018","101","100","Matt Kim","","","Option 1","","10/31/2030","NYSHFA","","","","","05/01/2020","07/01/2020","11/01/2020","RCS",""
"Phoenix Towers","75489","158","158","Claire Beatty","","","Option 1","","10/31/2033","National Housing Compliance","","","","","","07/01/2020","11/01/2020","OCAF",""
"Stephenville Crossing","75952","86","86","Tolga Ayberk","","","Option 1","","10/31/2037","SWHCC","","","","","","07/01/2020","11/01/2020","OCAF",""
"The Magnolia","75954","65","65","Tolga Ayberk","","","Option 2","","11/01/2037","TDHCA","","","","","","07/01/2020","11/01/2020","OCAF",""
"Van Nuys","7917579173","299","299","Tolga Ayberk","","","Option 3","","","LA LOMOD","","","","","","07/01/2020","11/01/2020","OCAF",""
"Mohican","75914","146","146","Mike McKee","","","Option 4","","11/17/2034","Connecticut Housing Finance Authority","","","","","","07/18/2020","11/18/2020","OCAF",""
"Washington Square West","79138","132","131","Mike McKee","","","Option 1","","11/22/2029","Pennsylvania Housing Finance Agency","","","","","","07/23/2020","11/23/2020","OCAF",""
"Essex-Phoenix","75497","145","144","Elliot Kohanbash","","","Option 4","","11/24/2033","NJHMFA","","","","","","07/25/2020","11/25/2020","OCAF",""
"Noble Tower","75543","195","195","Tolga Ayberk","","","Option 1","","11/30/2039","HUD (HAP)","","","","","","08/01/2020","12/01/2020","OCAF",""
"Oxford House","75487","156","156","Matt Kim","","","Option 2","","11/30/2031","National Housing Compliance","","","","","","08/01/2020","12/01/2020","OCAF",""
"Trees - Pine","90106","61","61","Claire Beatty","","","Option 1","","11/30/2040","Colorado Housing and Finance Authority","","","","","","09/01/2020","12/01/2020","OCAF",""
"Chestnut Park (Skyview)","75541","489","241","Matt Kim","","","RAD 2","","12/11/2038","HUD","","","","","","08/11/2020","12/11/2020","OCAF",""
"Olde English Village","75923","200","200","Matt Kim","","","Option 3","","12/17/2035","MassHousing","","","","","","08/18/2020","12/18/2020","OCAF",""
"Augustana Homes of Danbury","75533","40","40","Mike McKee","","","PRAC","","","HUD CT","","","","","","09/01/2020","01/01/2021","EXPIRES",""
"Bastrop Oak Grove","90030","48","48","Tolga Ayberk","","","Option 4","","01/01/2039","Southwest Housing Compliance Corporation","","","","","","09/01/2020","01/01/2021","OCAF",""
"Faust Landmark Apartments","75532","200","200","Claire Beatty","","","RAD","","07/31/2025","Rockford Housing","","","","","","09/01/2020","01/01/2021","OCAF",""
"Fields Ertel Townhouses","75548","55","55","Matt Kim","","","Option 1","","12/31/2039","Assisted Housing Services Corporation","","","","","","09/01/2020","01/01/2021","OCAF",""
"French Apartments","75116","174","174","Mike McKee","","","Option 1","","12/31/2035","CGI","","","","","07/01/2020","09/01/2020","01/01/2021","RCS",""
"Hondo Brian Place","90037","40","40","Tolga Ayberk","","","Option 1","","01/01/2039","Southwest Housing Compliance Corporation","","","","","","09/01/2020","01/01/2021","OCAF",""
"Kirkwood House","79197","261","260","Matt Kim","","","Option 1","","12/31/2028","MDHCD","","","","","","09/01/2020","01/01/2021","OCAF",""
"Luther Towers","90111","362","362","Claire Beatty","","","SPRAC","","11/30/2043","Delaware State Housing Authority","","","","","","10/01/2020","01/01/2021","Request",""
"Oaks on North Plaza","75544","62","62","Tolga Ayberk","","","Option 1","","12/31/2039","SWHCC","","","","","","09/01/2020","01/01/2021","OCAF",""
"Shawnee Village","75901","120","120","Matt Kim","","","Option 1","","12/31/2033","Illinois Housing Development Authority","","","","","","09/01/2020","01/01/2021","OCAF",""
"Southport Mews","75433","65","64","Matt Kim","","","Option 2","","10/31/2029","HUD","","","","","","09/01/2020","01/01/2021","OCAF",""
"Sycamore Ridge","75912","304","304","Elliot Kohanbash","","","Option 4","","01/01/2033","NJHMFA","","","","","","09/01/2020","01/01/2021","OCAF",""
"Woodlake Apartments","75584","148","147","Elliot Kohanbash","","","Option 1","","10/31/2044","NJHMFA","","","","","","","01/01/2021","OCAF",""
"Treemont Village","4640008","60","60","Elliot Kohanbash","","","Option 2","","01/01/2033","HUD","","","","","","09/02/2020","01/02/2021","OCAF",""
"Arlington Park","90022","130","130","Matt Kim","","","Option 1","","01/31/2037","Massachusetts Housing Finance Agency","","","","","","09/10/2020","01/10/2021","OCAF",""
"Washington Heights","75925","404","366","Matt Kim","","","Option 5","","01/30/2036","Massachusetts Housing Finance Agency","","","","","","09/15/2020","01/15/2021","OCAF",""
"Fullerton Court","75918","196","195","Matt Kim","","","Option 1","","01/25/2034","National Housing Compliance","","","","","","09/26/2020","01/26/2021","OCAF",""
"Augustana Homes of Jewett","75534","72","72","Mike McKee","","","PRAC","","","HUD CT","","","","","","10/01/2020","02/01/2021","EXPIRES",""
"Creekwood Apartments","75903","104","104","Matt Kim","","","Option 1","","01/31/2034","National Housing Compliance","","","","","","10/01/2020","02/01/2021","OCAF",""
"Ferncliff South","4640005","84","84","Claire Beatty","","","Option 2","","01/31/2038","Navigate Affordable Housing Partners","","","","","","10/01/2020","02/01/2021","OCAF",""
"Greenport","75468","366","364","Elliot Kohanbash","","","Option 1","","01/31/2029","CGI","","","","","","10/01/2020","02/01/2021","OCAF",""
"Sandburg Village","75902","128","128","Matt Kim","","","Option 4","","02/01/2034","National Housing Compliance","","","","","","10/01/2020","02/01/2021","OCAF",""
"Senior World","75500","100","100","Mike McKee","","","Option 2","","02/01/2031","MSHDA","","","","","08/01/2020","10/02/2020","02/01/2021","RCS",""
"The Woods","75491","57","57","Matt Kim","","","Option 2","","01/31/2034","National Housing Compliance","","","","","","10/01/2020","02/01/2021","OCAF",""
"Tompkins Terrace","79622","193","61","Claire Beatty","","","PBV","","02/01/2040","City of Beacon Housing Authority","","","","","","10/01/2021","02/01/2021","Request",""
"Country Village","75904","104","104","Matt Kim","","","Option 1","","02/29/2036","National Housing Compliance","","","","","09/01/2020","11/01/2020","03/01/2021","RCS",""
"Marshall Field","75911","628","628","Matt Kim","","","Option 1","","04/30/2035","National Housing Compliance","","","","","","12/01/2020","04/01/2021","OCAF",""
"MORH Housing","75927","126","125","Tolga Ayberk","","","Original","","03/31/2036","CAHI","","","","","10/01/2020","12/01/2020","04/01/2021","RCS",""
"Oak Center","75926","77","77","Tolga Ayberk","","","Option 1","","03/31/2036","CAHI","","","","","10/01/2020","12/01/2020","04/01/2021","RCS",""
"Riverwood","4640013","83","83","Mike McKee","","","Option 1","","03/31/2035","Navigate Affordable Housing Partners","","","","","","12/01/2020","04/01/2021","OCAF",""
"Roosevelt Apartments","90020","114","113","Matt Kim","","","Option 3","","03/31/2026","CGI","","","","","","12/01/2020","04/01/2021","OCAF",""
"Southeast Towers","75494","107","106","Mike McKee","","","PBV","","03/31/2028","NYS Homes and Community Renewal","","","","","","12/01/2020","04/01/2021","Request",""
"Brook","90023","98","97","Elliot Kohanbash","","","Option 3","","03/31/2031","CGI","","","","","","12/01/2020","04/01/2021","OCAF",""
"Hazelwood Towers","75146","97","95","Claire Beatty","","","Option 3","","04/14/2025","Pennsylvania Housing Finance Agency","","","","","","12/15/2020","04/15/2021","OCAF",""
"North Park","75478","123","123","Matt Kim","","","Option 1","","04/18/2031","CGI","","","","","","12/19/2020","04/19/2021","OCAF",""
"Malcolm Towers","90044","226","225","Elliot Kohanbash","","","Option 2","","04/30/2040","NJHMFA","","","","","","12/28/2020","04/28/2021","OCAF",""
"Crossroads of New Brighton","75947","172","172","Mike McKee","","","Option 1","","04/30/2036","Minn Housing","","","","","11/01/2020","01/01/2021","05/01/2021","RCS",""
"Crossroads of Shoreview","75948","44","44","Mike McKee","","","Option 2","","04/30/2036","Minn Housing","","","","","11/01/2020","01/01/2021","05/01/2021","RCS",""
"Park Bluff","75951","186","185","Mike McKee","","","Option 1","","03/31/2035","Wisconsin Housing & Economic Development Authority","","","","","","01/01/2021","05/01/2021","OCAF",""
"Sumler Terrace","4640014","126","126","Elliot Kohanbash","","","Option 1","","04/30/2037","Virginia Housing Development Authority","","","","","","01/01/2021","05/01/2021","OCAF",""
